date_time,Latitude,Longitude,Altitude,Course/Heading,Speed,Surface Temperature,Dew Point,Water Film,Ice Percentage,Friction,Road Condition,
2017/01/24 16:31:20,39.449837000,-92.409711000,262.14,13.34,-1.00,63.09,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:31:30,39.449837000,-92.409711000,262.14,13.34,-1.00,63.09,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:31:40,39.449849000,-92.409737000,263.46,14.38,0.00,63.08,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:31:50,39.449849000,-92.409737000,263.79,13.37,0.00,63.05,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:32:01,39.449849000,-92.409737000,263.28,13.37,0.00,63.14,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:10,39.449849000,-92.409737000,263.38,13.37,0.00,63.17,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:32:20,39.449849000,-92.409737000,263.50,13.37,0.00,63.06,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:30,39.449849000,-92.409737000,263.47,13.37,0.00,63.08,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:40,39.449849000,-92.409737000,263.39,12.34,-1.00,63.16,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:32:50,39.449849000,-92.409737000,263.39,11.33,-1.00,62.90,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:33:00,39.449849000,-92.409737000,263.39,11.33,-1.00,63.08,37.90,0.00,0.00,0.82,0.00,
2017/01/24 16:33:10,39.449857000,-92.409740000,262.43,12.35,-1.00,63.30,37.92,0.00,0.00,0.82,0.00,
2017/01/24 16:33:20,39.449859000,-92.409741000,262.43,12.35,-1.00,63.26,37.92,0.00,0.00,0.82,0.00,
2017/01/24 16:33:30,39.449859000,-92.409741000,262.43,11.34,-1.00,63.28,37.96,0.00,0.00,0.82,0.00,
2017/01/24 16:33:40,39.449859000,-92.409741000,262.43,10.34,-1.00,63.23,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:33:50,39.449859000,-92.409741000,262.43,10.34,-1.00,63.23,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:34:00,39.449859000,-92.409741000,262.43,10.34,-1.00,63.09,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:34:10,39.449842000,-92.409722000,262.28,12.36,-1.00,63.08,38.03,0.00,0.00,0.82,0.00,
2017/01/24 16:34:20,39.449843000,-92.409722000,262.28,11.35,-1.00,63.30,38.05,0.00,0.00,0.82,0.00,
2017/01/24 16:34:30,39.449843000,-92.409722000,262.28,10.33,-1.00,63.23,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:34:40,39.449843000,-92.409722000,262.28,10.33,-1.00,63.22,37.99,0.00,0.00,0.82,0.00,
2017/01/24 16:34:50,39.449843000,-92.409722000,262.28,10.33,-1.00,63.24,38.01,0.00,0.00,0.82,0.00,
2017/01/24 16:35:00,39.449843000,-92.409722000,262.28,10.33,-1.00,63.39,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:35:10,39.449868000,-92.409752000,262.29,12.35,-1.00,63.16,37.96,0.00,0.00,0.82,0.00,
